name,source,logMstar_gal,g_minus_i,has_nsc,colour_class_fig3,host_type_fig3
fig03_0081,NGFS,6.463669858455658,0.7300000190734863,False,red_sequence,early
fig03_0082,NGFS,6.62957006853819,0.8299999833106995,False,red_sequence,early
fig03_0083,NGFS,6.599800004720688,1.2000000476837158,False,red_sequence,early
fig03_0084,NGFS,7.686099906086922,0.8999999761581421,False,red_sequence,early
fig03_0085,NGFS,5.936929992496968,0.6700000166893005,False,red_sequence,early
fig03_0086,NGFS,7.467159993171693,1.0399999618530273,False,red_sequence,early
fig03_0087,NGFS,6.185990110099317,0.8100000023841858,False,red_sequence,early
fig03_0088,NGFS,6.689460119962693,0.7400000095367432,False,red_sequence,early
fig03_0089,NGFS,7.295780005395414,0.8199999928474426,True,red_sequence,early
fig03_0090,NGFS,7.00695999789238,1.2400000095367432,True,red_sequence,early
fig03_0091,NGFS,6.554410044848919,0.7900000214576721,False,red_sequence,early
fig03_0092,NGFS,6.92589991080761,1.100000023841858,True,red_sequence,early
fig03_0093,NGFS,6.394190141797067,0.6100000143051147,False,red_sequence,early
fig03_0094,NGFS,6.42187999367714,0.7200000286102295,False,red_sequence,early
fig03_0095,NGFS,7.299889975130559,0.9100000262260437,True,red_sequence,early
fig03_0096,NGFS,6.033770008683205,0.6299999952316284,False,red_sequence,early
fig03_0097,NGFS,6.580730006575585,0.8700000047683716,True,red_sequence,early
fig03_0098,NGFS,6.139689897656441,1.1100000143051147,False,red_sequence,early
fig03_0099,NGFS,6.445039971590043,0.7599999904632568,False,red_sequence,early
fig03_0100,NGFS,6.984529950261117,1.0700000524520874,True,red_sequence,early
fig03_0101,NGFS,6.454300166666508,0.699999988079071,False,red_sequence,early
fig03_0102,NGFS,6.732839848339558,0.9599999785423279,False,red_sequence,early
fig03_0103,NGFS,5.448069911271334,0.33000001311302185,False,blue_cloud,late
fig03_0104,NGFS,6.39925001525879,0.75,False,red_sequence,early
fig03_0105,NGFS,6.226609933316708,0.5899999737739563,False,red_sequence,early
fig03_0106,NGFS,7.355890112459661,0.9100000262260437,True,red_sequence,early
fig03_0107,NGFS,7.068200031697751,0.800000011920929,False,red_sequence,early
fig03_0108,NGFS,7.480530240178109,1.0700000524520874,True,red_sequence,early
fig03_0109,NGFS,7.0183001056313525,0.699999988079071,False,red_sequence,early
fig03_0110,NGFS,7.155469826757909,0.9300000071525574,False,red_sequence,early
fig03_0111,NGFS,5.345769901871683,0.6299999952316284,False,red_sequence,early
fig03_0112,NGFS,6.865040047883988,0.7599999904632568,False,red_sequence,early
fig03_0113,NGFS,7.083049800455571,0.949999988079071,False,red_sequence,early
fig03_0114,NGFS,6.028090000927449,0.7099999785423279,False,red_sequence,early
fig03_0115,NGFS,6.6899898201823245,0.8100000023841858,False,red_sequence,early
fig03_0116,NGFS,5.825039895296098,0.7599999904632568,False,red_sequence,early
fig03_0117,NGFS,6.109039910554887,0.7599999904632568,False,red_sequence,early
fig03_0118,NGFS,5.973259905159474,0.9399999976158142,False,red_sequence,early
fig03_0119,NGFS,7.001569809138776,0.8299999833106995,False,red_sequence,early
fig03_0120,NGFS,7.516310163378717,0.8899999856948853,False,red_sequence,early
fig03_0121,NGFS,8.059820059180261,1.5800000429153442,False,red_sequence,early
fig03_0122,NGFS,6.803030051171781,0.5699999928474426,False,red_sequence,early
fig03_0123,NGFS,6.800200001180173,0.800000011920929,True,red_sequence,early
fig03_0124,NGFS,7.153389831900598,1.409999966621399,False,red_sequence,early
fig03_0125,NGFS,7.045570053279401,0.8299999833106995,False,red_sequence,early
fig03_0126,NGFS,7.2294598910808565,0.7400000095367432,False,red_sequence,early
fig03_0127,NGFS,6.648730037093164,0.8700000047683716,False,red_sequence,early
fig03_0128,NGFS,6.271999893188477,1.0,False,red_sequence,early
fig03_0129,NGFS,6.335800065755844,1.2000000476837158,False,red_sequence,early
fig03_0130,NGFS,6.195360101163388,0.8399999737739563,False,red_sequence,early
fig03_0131,NGFS,6.38703006643057,0.5699999928474426,True,red_sequence,early
fig03_0132,NGFS,5.8365100882649426,0.6899999976158142,False,red_sequence,early
fig03_0133,NGFS,7.037150048136712,0.8500000238418579,True,red_sequence,early
fig03_0134,NGFS,6.527909977912904,1.2899999618530273,False,red_sequence,early
fig03_0135,NGFS,7.5010401089191445,0.7599999904632568,True,red_sequence,early
fig03_0136,NGFS,7.943779959619047,0.8199999928474426,False,red_sequence,early
fig03_0137,NGFS,7.557150124430657,0.8500000238418579,True,red_sequence,early
